best_features,score
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'jointAngle_jRightShoulder']",0.8836693751780609
"['centerOfMass_z', 'jointAngle_jRightHip', 'velocity1_Pelvis']",0.8835070712634355
"['distCoM_Pelvis', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8834025335927735
"['centerOfMass_z', 'distCoM_Pelvis', 'velocity1_Pelvis']",0.8829559581304696
"['centerOfMass_z', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8826712634327455
"['CoMVelocityNorm', 'centerOfMass_z', 'distCoM_LeftFoot']",0.8826386678502461
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'jointAngle_jRightShoulder']",0.8826283255513855
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder', 'jointAngle_jRightShoulder']",0.8825800865987966
"['CoMVelocityNorm', 'centerOfMass_z', 'velocity1_Pelvis']",0.8823742263449799
"['jointAngle_jLeftHip', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8822499943296641
"['centerOfMass_z', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8820971927462338
"['CoMVelocity_z', 'jointAngle_jLeftHip', 'jointAngle_jLeftShoulder']",0.8820780948582168
"['CoMVelocityNorm', 'centerOfMass_z', 'velocity1_Pelvis']",0.8817250111574981
"['jointAngle_jL5S1', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8815893738613402
"['jointAngle_jLeftHip', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8811776519940606
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder', 'velocity1_RightFoot']",0.88096734724407
"['jointAngle_jRightHip', 'jointAngle_jRightShoulder', 'velocity1_RightHand']",0.8808882390575477
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'jointAngle_jRightShoulder']",0.8807749628363044
"['CoMVelocityNorm', 'centerOfMass_z', 'jointAngle_jLeftKnee']",0.8801691669396333
"['jointAngle_jLeftHip', 'jointAngle_jRightShoulder', 'velocity1_LeftHand']",0.88011553907325
"['centerOfMass_z', 'velocity1_Pelvis']",0.8800807305545153
"['jointAngle_jLeftHip', 'jointAngle_jLeftKnee', 'jointAngle_jRightShoulder']",0.8798611882651854
"['centerOfMass_z', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8798220326490893
"['centerOfMass_z', 'distCoM_RightFoot', 'velocity1_Pelvis']",0.8795577363083102
"['centerOfMass_z', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8792900396664602
"['jointAngle_jRightHip', 'jointAngle_jRightShoulder', 'velocity1_LeftFoot']",0.8789569698858939
"['centerOfMass_z', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8789470726297521
"['centerOfMass_z', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8786520990529905
"['centerOfMass_z', 'velocity1_LeftFoot', 'velocity1_Pelvis']",0.8785087998412642
"['jointAngle_jRightHip', 'jointAngle_jRightShoulder', 'velocity1_LeftHand']",0.8783944218937595
"['CoMVelocityNorm', 'CoMVelocity_z', 'centerOfMass_z']",0.8780972243785204
"['CoMVelocity_z', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8778551537233542
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'velocity1_Pelvis']",0.877602646973208
"['centerOfMass_z', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8775569232158904
"['CoMVelocityNorm', 'centerOfMass_z', 'distCoM_RightFoot']",0.8774735529416717
"['jointAngle_jLeftKnee', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8773378468321809
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'jointAngle_jRightKnee']",0.8770460080644509
"['centerOfMass_z', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8770099001916715
"['jointAngle_jRightHip', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8768315653052743
"['centerOfMass_z', 'jointAngle_jRightShoulder', 'velocity1_LeftFoot']",0.8765718679509931
"['CoMVelocity_z', 'centerOfMass_z', 'velocity1_Pelvis']",0.876505520199676
"['CoMVelocityNorm', 'centerOfMass_z', 'velocity1_LeftHand']",0.8763844385642519
"['jointAngle_jL5S1', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.876348257381103
"['distCoM_RightFoot', 'jointAngle_jLeftHip', 'jointAngle_jLeftShoulder']",0.8762989089788435
"['distCoM_RightHand', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8758081359245887
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'jointAngle_jLeftShoulder']",0.8756132251328653
"['distCoM_Pelvis', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8755593520131444
"['jointAngle_jRightKnee', 'jointAngle_jRightShoulder', 'velocity1_LeftFoot']",0.875465527902712
"['CoMVelocity_z', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.875261015615813
"['jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8749252386265711
"['jointAngle_jRightHip', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8748474708395357
"['centerOfMass_z', 'jointAngle_jL5S1', 'jointAngle_jRightShoulder']",0.8747608396222606
"['jointAngle_jRightHip', 'jointAngle_jRightShoulder', 'velocity1_Pelvis']",0.8747482624858194
"['distCoM_LeftHand', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8746537510655248
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder', 'jointAngle_jRightShoulder']",0.8746022813135956
"['centerOfMass_z', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8743579158241701
"['distCoM_LeftHand', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8742154680629521
"['distCoM_LeftFoot', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8741890790237472
"['distCoM_RightHand', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8740900772800777
"['distCoM_Pelvis', 'jointAngle_jLeftHip', 'jointAngle_jLeftShoulder']",0.8739503328576644
"['CoMVelocityNorm', 'centerOfMass_z', 'velocity1_LeftFoot']",0.8738804221084058
"['jointAngle_jLeftHip', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.873796857423511
"['centerOfMass_z', 'velocity1_LeftHand', 'velocity1_Pelvis']",0.8736950436255799
"['distCoM_LeftFoot', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8734821263613269
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder', 'jointAngle_jRightShoulder']",0.8733060062095651
"['centerOfMass_z', 'jointAngle_jRightShoulder', 'velocity1_RightFoot']",0.8730742982250035
"['centerOfMass_z', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8727031868213376
"['distCoM_Pelvis', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.872320029912798
"['centerOfMass_z', 'distCoM_LeftHand', 'jointAngle_jRightShoulder']",0.8722906898752549
"['jointAngle_jL5S1', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.872236322407834
"['jointAngle_jLeftKnee', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8720440276962917
"['centerOfMass_z', 'jointAngle_jL5S1', 'jointAngle_jRightShoulder']",0.8719991481893508
"['centerOfMass_z', 'jointAngle_jL5S1', 'jointAngle_jLeftKnee']",0.8719920102976666
"['distCoM_RightFoot', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8719788175139236
"['distCoM_RightHand', 'jointAngle_jLeftHip', 'jointAngle_jLeftShoulder']",0.8719638526844509
"['jointAngle_jL5S1', 'jointAngle_jLeftHip', 'jointAngle_jLeftShoulder']",0.8716934154281776
"['jointAngle_jL5S1', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8712589853446332
"['distCoM_LeftFoot', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8710925860777902
"['CoMVelocity_z', 'centerOfMass_z', 'jointAngle_jLeftKnee']",0.8707491675747369
"['distCoM_RightFoot', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8702887392034903
"['CoMVelocityNorm', 'centerOfMass_z', 'velocity1_RightHand']",0.8702525757069484
"['centerOfMass_z', 'velocity1_Pelvis', 'velocity1_RightHand']",0.8702462545006527
"['centerOfMass_z', 'velocity1_Pelvis', 'velocity1_RightFoot']",0.8697933745843337
"['jointAngle_jRightKnee', 'jointAngle_jRightShoulder', 'velocity1_RightHand']",0.8696435908587893
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'jointAngle_jRightElbow']",0.8695703325477283
"['centerOfMass_z', 'distCoM_RightHand', 'jointAngle_jRightShoulder']",0.8695002858321549
"['distCoM_RightFoot', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8693816417035142
"['centerOfMass_z', 'distCoM_RightHand', 'jointAngle_jRightShoulder']",0.8691306528567327
"['jointAngle_jRightKnee', 'jointAngle_jRightShoulder', 'velocity1_LeftHand']",0.8683485631895395
"['centerOfMass_z', 'jointAngle_jLeftElbow', 'jointAngle_jLeftKnee']",0.8683433354075253
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'velocity1_RightFoot']",0.868309989182763
"['distCoM_LeftHand', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8682040330086054
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'velocity1_RightHand']",0.8681681273785127
"['CoMVelocityNorm', 'centerOfMass_z', 'velocity1_RightFoot']",0.8679131973383308
"['centerOfMass_z', 'jointAngle_jRightShoulder', 'velocity1_RightFoot']",0.8676847135819798
"['centerOfMass_z', 'distCoM_LeftHand', 'jointAngle_jRightShoulder']",0.8671871511972967
"['centerOfMass_z', 'jointAngle_jRightElbow', 'jointAngle_jRightShoulder']",0.8668015829007896
"['centerOfMass_z', 'distCoM_LeftHand', 'jointAngle_jLeftKnee']",0.8664723576711781
"['distCoM_RightFoot', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8658241294772673
"['centerOfMass_z', 'jointAngle_jLeftElbow', 'jointAngle_jRightShoulder']",0.8658041560173122
"['jointAngle_jLeftElbow', 'jointAngle_jLeftHip', 'jointAngle_jLeftShoulder']",0.8656872268943471
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'velocity1_LeftHand']",0.8654310045960254
"['jointAngle_jLeftElbow', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8654140857647536
"['jointAngle_jLeftShoulder', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8650898724522632
"['jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8650797072994386
"['centerOfMass_z', 'distCoM_RightHand', 'jointAngle_jLeftKnee']",0.8647695749469358
"['distCoM_LeftFoot', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8645890757544704
"['distCoM_LeftHand', 'jointAngle_jLeftHip', 'jointAngle_jLeftShoulder']",0.8645015961339868
"['centerOfMass_z', 'jointAngle_jLeftHip', 'jointAngle_jLeftKnee']",0.8642863524799644
"['jointAngle_jLeftShoulder', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8636675791318904
"['centerOfMass_z', 'jointAngle_jLeftHip', 'jointAngle_jLeftShoulder']",0.8635467505795548
"['distCoM_LeftHand', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8635392045537882
"['jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8633095586196025
"['jointAngle_jRightHip', 'jointAngle_jRightShoulder', 'velocity1_RightFoot']",0.8632837526487029
"['distCoM_RightHand', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8632001581445518
"['jointAngle_jLeftElbow', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8628486294678192
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder', 'jointAngle_jRightHip']",0.8628205557574607
"['centerOfMass_z', 'jointAngle_jRightElbow', 'jointAngle_jRightShoulder']",0.8627534325253226
"['jointAngle_jLeftHip', 'jointAngle_jRightElbow', 'jointAngle_jRightShoulder']",0.8619192008109395
"['centerOfMass_z', 'jointAngle_jLeftShoulder', 'jointAngle_jRightShoulder']",0.8617879146118338
"['centerOfMass_z', 'jointAngle_jRightShoulder']",0.8615263309655257
"['jointAngle_jLeftHip', 'jointAngle_jRightElbow', 'jointAngle_jRightShoulder']",0.8614833846728744
"['centerOfMass_z', 'distCoM_LeftFoot', 'jointAngle_jRightShoulder']",0.8610942092029061
"['jointAngle_jRightElbow', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.860968439894641
"['centerOfMass_z', 'distCoM_LeftFoot', 'jointAngle_jRightShoulder']",0.8608574928133566
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder']",0.8603621029702905
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'jointAngle_jRightHip']",0.8600727839278908
"['distCoM_Pelvis', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8599882428292119
"['jointAngle_jRightElbow', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.859976044688618
"['centerOfMass_z', 'distCoM_RightFoot', 'jointAngle_jRightShoulder']",0.859121803806528
"['centerOfMass_z', 'jointAngle_jLeftElbow', 'jointAngle_jRightShoulder']",0.859011804823433
"['centerOfMass_z', 'distCoM_RightFoot', 'jointAngle_jRightShoulder']",0.8585058588585932
"['jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8580210134066689
"['centerOfMass_z', 'jointAngle_jLeftKnee']",0.8578783495381578
"['distCoM_LeftFoot', 'jointAngle_jLeftHip', 'jointAngle_jLeftShoulder']",0.8576514518890064
"['centerOfMass_z', 'jointAngle_jRightShoulder']",0.8574636670376453
"['centerOfMass_z', 'velocity1_RightHand']",0.8572469785464636
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder', 'jointAngle_jRightElbow']",0.8571760490442868
"['centerOfMass_z', 'jointAngle_jLeftKnee']",0.8570317551485528
"['distCoM_RightHand', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8567641198268898
"['CoMVelocity_z', 'centerOfMass_z']",0.8566414102376887
"['centerOfMass_z', 'distCoM_Pelvis', 'jointAngle_jRightShoulder']",0.856583816912504
"['jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8564969553986934
"['centerOfMass_z', 'velocity1_LeftHand']",0.8564400318831258
"['jointAngle_jLeftShoulder', 'jointAngle_jRightHip']",0.8558461124803017
"['jointAngle_jLeftShoulder', 'jointAngle_jRightKnee']",0.8557598548155947
"['centerOfMass_z', 'distCoM_Pelvis', 'jointAngle_jLeftKnee']",0.8556782404906836
"['centerOfMass_z', 'distCoM_LeftFoot', 'jointAngle_jLeftKnee']",0.8546925981351363
"['jointAngle_jLeftElbow', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8546085276164881
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'velocity1_LeftFoot']",0.8540382203692071
"['jointAngle_jLeftShoulder', 'jointAngle_jRightHip']",0.8539863016808309
"['jointAngle_jLeftShoulder', 'jointAngle_jRightKnee']",0.8539707353414293
"['centerOfMass_z', 'distCoM_Pelvis', 'jointAngle_jRightShoulder']",0.8536032283155003
"['jointAngle_jLeftElbow', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8532558891219275
"['jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8512387128684418
"['centerOfMass_z', 'jointAngle_jRightKnee']",0.8509649345443826
"['centerOfMass_z', 'jointAngle_jLeftShoulder', 'jointAngle_jRightShoulder']",0.8508849762879461
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder']",0.850736636379276
"['centerOfMass_z', 'velocity1_LeftFoot']",0.8495476839313826
"['jointAngle_jLeftKnee', 'jointAngle_jLeftShoulder']",0.848594930915108
"['centerOfMass_z', 'jointAngle_jRightKnee']",0.8479527137506557
"['centerOfMass_z', 'jointAngle_jLeftHip']",0.8455927405886103
"['centerOfMass_z', 'jointAngle_jL5S1']",0.8451335928052954
"['jointAngle_jLeftKnee', 'jointAngle_jLeftShoulder']",0.8434151690784529
"['jointAngle_jRightKnee', 'jointAngle_jRightShoulder', 'velocity1_RightFoot']",0.8431123043302078
"['jointAngle_jLeftKnee', 'jointAngle_jRightShoulder']",0.8415117687610374
"['centerOfMass_z', 'distCoM_RightFoot', 'jointAngle_jLeftKnee']",0.8404796063149269
"['CoMVelocityNorm', 'jointAngle_jLeftHip']",0.8395164288809033
"['jointAngle_jLeftHip', 'jointAngle_jLeftKnee']",0.8350722976662205
"['jointAngle_jLeftKnee', 'jointAngle_jRightShoulder']",0.8337602894860169
"['centerOfMass_z', 'jointAngle_jLeftShoulder']",0.831440413548727
"['centerOfMass_z', 'velocity1_RightFoot']",0.8307845764131209
"['centerOfMass_z', 'jointAngle_jLeftHip']",0.8307340955724849
"['centerOfMass_z', 'jointAngle_jRightHip']",0.8292916810423684
"['centerOfMass_z', 'jointAngle_jLeftShoulder']",0.829287756142373
"['centerOfMass_z', 'jointAngle_jRightHip']",0.8272877434210452
"['distCoM_RightHand', 'jointAngle_jLeftHip']",0.8269640230505667
"['jointAngle_jLeftHip', 'velocity1_Pelvis']",0.8258939929589644
"['jointAngle_jL5S1', 'jointAngle_jRightShoulder']",0.823761900169193
"['jointAngle_jL5S1', 'jointAngle_jLeftHip']",0.8222951439818658
"['distCoM_Pelvis', 'jointAngle_jLeftHip']",0.8212230198987459
"['centerOfMass_z', 'distCoM_LeftHand']",0.8186469078798946
"['jointAngle_jLeftHip', 'jointAngle_jLeftKnee']",0.818616944657766
"['centerOfMass_z', 'distCoM_LeftHand']",0.8178984833975822
"['distCoM_RightFoot', 'jointAngle_jLeftShoulder']",0.8174350810831216
"['distCoM_LeftHand', 'jointAngle_jLeftKnee']",0.8162350372890597
"['distCoM_LeftHand', 'jointAngle_jLeftKnee']",0.8153504794172045
"['distCoM_LeftFoot', 'jointAngle_jLeftShoulder']",0.8124275099449935
"['distCoM_RightHand', 'jointAngle_jLeftKnee']",0.8115096709718286
"['distCoM_RightHand', 'jointAngle_jLeftHip']",0.8113071310768062
"['centerOfMass_z', 'jointAngle_jLeftElbow']",0.810886044051862
"['jointAngle_jLeftHip', 'velocity1_RightHand']",0.8106267437650795
"['distCoM_RightFoot', 'jointAngle_jRightShoulder']",0.8103203961199765
"['distCoM_LeftHand', 'jointAngle_jLeftHip']",0.8102301191686697
"['jointAngle_jLeftHip', 'velocity1_LeftHand']",0.8099136878619044
"['CoMVelocityNorm', 'jointAngle_jLeftShoulder']",0.8098877517534601
"['jointAngle_jLeftHip', 'jointAngle_jRightHip']",0.8098829742852042
"['centerOfMass_z', 'jointAngle_jLeftElbow']",0.8098161532782049
"['jointAngle_jLeftHip', 'jointAngle_jRightKnee']",0.8096601879856505
"['centerOfMass_z', 'distCoM_Pelvis']",0.8086164440651002
"['jointAngle_jLeftShoulder', 'velocity1_LeftHand']",0.8077301153271162
['centerOfMass_z'],0.8070882085963309
"['centerOfMass_z', 'distCoM_LeftFoot']",0.8067025488642884
"['centerOfMass_z', 'distCoM_RightFoot']",0.8066591919209971
"['distCoM_RightFoot', 'jointAngle_jLeftHip']",0.8066591715670604
"['jointAngle_jL5S1', 'jointAngle_jLeftShoulder']",0.8064579546585073
"['jointAngle_jLeftElbow', 'jointAngle_jLeftHip']",0.8062864303851424
"['jointAngle_jLeftHip', 'jointAngle_jRightHip']",0.8048410571498472
"['distCoM_LeftHand', 'jointAngle_jLeftHip']",0.8047449785476274
"['centerOfMass_z', 'distCoM_RightHand']",0.8039570915042983
"['jointAngle_jLeftHip', 'jointAngle_jRightKnee']",0.8037328806081561
"['centerOfMass_z', 'distCoM_RightHand']",0.8035758434089626
"['distCoM_Pelvis', 'jointAngle_jRightHip']",0.8019157472935343
"['CoMVelocityNorm', 'jointAngle_jRightHip']",0.801842423534176
"['distCoM_RightHand', 'jointAngle_jLeftKnee']",0.8011219653026853
"['jointAngle_jLeftElbow', 'jointAngle_jLeftHip']",0.8003304667171177
"['distCoM_LeftFoot', 'jointAngle_jLeftHip']",0.7992320630890515
"['jointAngle_jRightHip', 'velocity1_Pelvis']",0.7979554055652438
"['distCoM_RightHand', 'jointAngle_jRightHip']",0.7966542613019716
"['jointAngle_jLeftShoulder', 'velocity1_Pelvis']",0.7959637653270726
"['distCoM_LeftHand', 'jointAngle_jRightHip']",0.7958805024760075
"['distCoM_LeftHand', 'jointAngle_jRightShoulder']",0.7950307730445703
"['distCoM_LeftFoot', 'jointAngle_jRightShoulder']",0.7947601739692529
"['distCoM_RightHand', 'jointAngle_jRightShoulder']",0.7938272604802463
"['centerOfMass_z', 'jointAngle_jRightElbow']",0.7933133562293118
"['jointAngle_jLeftShoulder', 'velocity1_RightHand']",0.7929635426135588
"['distCoM_RightHand', 'jointAngle_jRightHip']",0.7922068381434852
"['jointAngle_jRightHip', 'jointAngle_jRightKnee']",0.7914300142105442
"['jointAngle_jRightHip', 'jointAngle_jRightKnee']",0.7899643896501537
"['jointAngle_jRightShoulder', 'velocity1_LeftHand']",0.789919293480564
"['distCoM_RightHand', 'jointAngle_jRightShoulder']",0.7897916497195305
"['distCoM_LeftHand', 'jointAngle_jRightShoulder']",0.7895854104369898
